Name,PositionX,PositionY,PositionZ,LookAtX,LookAtY,LookAtZ,UpX,UpY,UpZ,FieldOfViewY,FarZ,NearZ,Yaw,Pitch,Roll
String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
info_screen_default,0,320,13330,0,320,0,0,1000,0,9150,26660,6665,-15000,0,0
info_screen_barbarian,0,500,16800,0,480,0,0,1000,0,9150,26660,15000,-15000,0,0
info_screen_prince,-30,360,22000,-30,639,0,0,1000,0,9150,26660,12000,-36000,0,0
info_screen_pekka,0,360,14000,0,400,0,0,1000,0,9150,26660,12000,-14000,0,0
info_screen_giant,-30,420,13690,-30,400,0,0,1000,0,9150,26660,6665,-15000,0,0
info_screen_wizard,0,420,15000,30,420,0,0,1000,0,9150,26660,10000,-15000,0,0
info_screen_archer,-69,420,14500,-69,420,0,0,1000,0,9150,26660,10000,-15000,0,0
info_screen_spell,0,160,12000,0,30,0,0,1000,0,9150,26660,6665,-15000,0,-15000
info_screen_tactic,0,120,12000,0,0,0,0,1000,0,9150,26660,6665,-15000,0,0
info_screen_bomber,-90,390,13330,-90,380,0,0,1000,0,9150,26660,10000,-15000,0,0
info_screen_goblin,-30,420,14400,-30,420,0,0,1000,0,9150,26660,10000,-1800,0,0
info_screen_babydragon,-90,-300,13330,-90,480,0,0,1000,0,9150,26660,12000,-30000,0,0
info_screen_rocket,0,160,13330,0,-100,0,0,1000,0,9150,26660,6665,-48000,0,18000
info_screen_log,0,160,13330,0,-120,0,0,1000,0,9150,26660,6665,18000,-9000,-15000
,,,,,,,,,,,,,,,
tutorial_default,0,630,3200,0,630,0,0,1000,0,9150,10000,1000,7500,0,0
tutorial_archer,-90,800,3200,-90,800,0,0,1000,0,9150,10000,3000,-500,0,0
tutorial_wizard,10,840,3200,10,840,0,0,1000,0,9150,10000,3000,7500,0,0
tutorial_prince,-50,1350,4000,-50,1350,0,0,1000,0,9150,10000,3000,7500,0,0
tutorial_horse,200,645,4600,200,645,0,0,1000,0,9150,10000,1000,30000,0,0
,,,,,,,,,,,,,,,
tutorial_default_large,440,700,9000,440,700,0,0,1000,0,9150,20000,3000,7500,0,0
tutorial_barbarian_large,480,700,9000,480,700,0,0,1000,0,9150,20000,3000,7500,0,0
tutorial_archer_large,300,650,7500,300,650,0,0,1000,0,9150,20000,3000,0,0,0
tutorial_prince_large,480,900,10000,480,900,0,0,1000,0,9150,20000,3000,10000,0,0
tutorial_goblin_boss_large,-800,1700,17000,-800,1700,0,0,1000,0,9150,30000,1000,-13000,3000,0
,,,,,,,,,,,,,,,
tutorial_optional_default,20,570,3500,20,570,0,0,1000,0,9150,10000,1000,5000,0,0
tutorial_optional_archer,-50,750,3800,-50,750,0,0,1000,0,9150,10000,3000,-5000,0,0
tutorial_optional_wizard,30,800,4000,30,800,0,0,1000,0,9150,10000,3000,5000,0,0
tutorial_optional_prince,0,1280,4500,0,1280,0,0,1000,0,9150,10000,3000,5000,0,0
,,,,,,,,,,,,,,,
map_default,0,6000,8000,0,220,0,0,1000,0,9150,20000,5000,-15000,0,0
map_giant,0,6000,8000,0,220,0,0,1000,0,9150,20000,5000,-15000,0,0
map_goblin,0,5000,8000,0,100,0,0,1000,0,9150,20000,5000,0,0,0
map_pekka,0,5900,8000,0,150,0,0,1000,0,9150,20000,5000,15000,0,0
map_bomber,0,6000,8000,0,220,0,0,1000,0,9150,20000,5000,-15000,0,0
,,,,,,,,,,,,,,,
map_default_chest,0,44000,64000,0,2000,0,0,1000,0,9150,96000,6400,15000,0,0
default_chest,0,6000,36000,0,2000,0,0,1000,0,9150,72000,1800,15000,0,0
wagon_chest,0,18000,64000,0,2000,0,0,1000,0,9150,72000,1800,15000,0,0
,,,,,,,,,,,,,,,
map_spell,0,3000,8000,0,-100,0,0,1000,0,9150,10000,5000,8000,0,0
map_tactic,0,3000,8000,0,-120,0,0,1000,0,9150,10000,5000,45000,0,0
card_button_default,-64,620,3750,-64,620,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_spell,-32,160,5000,-32,140,0,0,1000,0,9150,26660,1000,-25000,-20000,0
card_button_tactic,-32,160,5000,-32,140,0,0,1000,0,9150,26660,1000,-20000,4000,0
card_button_archer,-100,690,3500,-100,800,0,0,1000,0,9150,26660,1000,-15000,4000,0
card_button_wizard,32,850,3800,32,850,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_barbarian,0,850,3900,0,850,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_prince,-16,1400,3900,12,1330,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_giant,-96,800,3500,-96,800,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_goblin,-48,400,3800,-48,650,0,0,1000,0,9150,26660,1000,-1800,4000,0
card_button_babydragon,-180,690,4500,-180,690,0,0,1000,0,9150,26660,1000,-28000,-2000,0
card_button_pekka,-39,770,3000,-39,770,0,0,1000,0,9150,26660,1000,-25000,-2000,0
card_button_bomber,-90,600,3400,-90,600,0,0,1000,0,9150,26660,1000,-22000,-2000,0
card_button_rocket,-32,160,5000,-32,140,0,0,1000,0,9150,26660,1000,-25000,-20000,0
card_button_log,-32,160,5000,-32,140,0,0,1000,0,9150,26660,1000,-25000,-20000,0
,,,,,,,,,,,,,,,
card_button_wide_default,-32,600,3750,-32,600,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_wide_spell,-32,160,3900,-32,180,0,0,1000,0,9150,26660,1000,-25000,-20000,-15000
card_button_wide_tactic,-32,160,3900,-32,140,0,0,1000,0,9150,26660,1000,-20000,4000,0
card_button_wide_wizard,32,825,3550,32,825,0,0,1000,0,9150,26660,1000,-22000,4000,0
card_button_wide_barbarian,0,500,3900,0,860,0,0,1000,0,9150,26660,1000,-20000,4000,0
card_button_wide_archer,-100,690,3300,-100,780,0,0,1000,0,9150,26660,1000,-15000,4000,0
card_button_wide_prince,0,690,3900,69,1320,0,0,1000,0,9150,26660,1000,-36000,4000,0
card_button_wide_giant,-100,800,3500,-100,800,0,0,1000,0,9150,26660,1000,-25000,4000,0
card_button_wide_pekka,-100,800,3100,-60,769,0,0,1000,0,9150,26660,1000,-20000,4000,0
card_button_wide_bomber,-100,300,3300,-100,560,0,0,1000,0,9150,26660,1000,-15000,4000,0
card_button_wide_goblin,-40,500,3600,-40,640,0,0,1000,0,9150,26660,1000,-1800,4000,0
card_button_wide_babydragon,-210,0,4200,-210,720,0,0,1000,0,9150,26660,1000,-30000,4000,0
card_button_wide_rocket,-60,160,4200,-60,120,0,0,1000,0,9150,26660,1000,-48000,0,18000
card_button_wide_log,0,160,4500,0,60,0,0,1000,0,9150,26660,1000,18000,-9000,-15000
,,,,,,,,,,,,,,,
reward_screen_item_default,0,0,10000,0,0,0,0,1000,0,9150,20000,5000,-15000,15000,0
info_screen_item_default,0,0,7500,0,0,0,0,1000,0,9150,10000,1000,-15000,15000,0
reward_screen_item_robes,0,0,10000,0,0,0,0,1000,0,9150,20000,5000,-1000,1000,0
info_screen_item_robes,0,0,7500,0,0,0,0,1000,0,9150,10000,1000,-1000,1000,0
