"Name",0
"String","int"
"Toni Aittoniemi",
"Mauritz Bart",
"Jonatas Chagas",
"John Cipriani",
"Sean Cornejo",
"Miguel Diaz",
"Visa Forsten",
"Jon Franzas",
"Juho Glad",
"Michael Gurman",
"Janne Juhola",
"Pauli Kaila",
"Aleksei Kalibin",
"Minyoung Kang",
"Woohyun Kim",
"Valtteri Laine",
"Jimmy Lee",
"Jan Lidtke",
"Jumpei Oki",
"Andrew Park",
"Ilya Pavlenkov",
"Miika Pylkkö",
"Eric Reimer",
"Martin Schjøler",
"Rachel Slocum",
"Micky Smeds",
"Touko Tahkokallio",
"Emily Tierney",
"Wilhelm Tigerstedt",
"Vlamir Tsoi",
"Veli Vainio",
"Valtter Vihervuori",
"Darian Vorlick",
"Jaakko Väyrynen",
"Ryan Wener",
"Jean Zoch",
