tid,EN
string,string
TID_LOADING,Loading
TID_UPDATING_CONTENT,Updating
TID_SHUTDOWN_STARTED,A short maintenance break is coming up in a few minutes. The game can't be played during the break.
TID_NAME_CHANGED_SUCCESS,Your account has a new name
TID_SETTINGS,Settings
TID_DAY,DAY
TID_AMOUNT_OUT_OF_MAX,<amount> / <max>
TID_LEVEL,Level
TID_LEVEL_NUMBER,Level <num>
TID_HIT_POINTS,Health <total>
TID_HIT_POINTS_CURRENT,Health <current>/<total>
TID_DAMAGE,Damage <damage>
TID_DAMAGE_X_N,Damage <damage> x <count>
TID_QUEST_TARGET,Target of a Quest. Destroy for extra reward!
TID_ATTACK_COUNTER_IMMEDIATE,Will attack after your turn!
TID_ATTACK_COUNTER,Will attack in <number> turns
TID_MOVES,MOVES
TID_TRIES,Tries:
TID_POPUP_EXIT_GAME_TITLE,Exit game
TID_POPUP_EXIT_GAME_TEXT,Are you sure you want to exit the game?
TID_BUTTON_YES,Yes
TID_BUTTON_NO,No
TID_BUTTON_OKAY,Okay
TID_BUTTON_CANCEL,Cancel
TID_BUTTON_RETRY,Retry
TID_BUTTON_REFILL,Refill
TID_BUTTON_CONFIRM,Confirm
TID_BUTTON_CONNECT_ONLINE,Connect
TID_BUTTON_RANK,Rank:
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Update Game
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Click button to update the game
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Update
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,OUT OF SYNC
TID_ERROR_POP_UP_OUT_OF_SYNC,Something went wrong and the game is out of sync. Chillax!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Reload
TID_NO_PUZZLE_ENERGY,Out of Energy...
TID_NEXT_ENERGY_TIMER,Next life in:
TID_COST_FREE,FREE
TID_EXTRA_MOVES,Buy extra moves for:
TID_LEVEL_FAILED_NO_MOVES,No possible moves left!
TID_LEVEL_FAILED_TITLE,Puzzle Failed!
TID_LEVEL_COMPLETE,Well played!
TID_LEVEL_COMPLETE_TITLE,Puzzle Complete!
TID_LEVEL_START_TITLE,Let's Go!
TID_LEVEL_START,Goal:
TID_LEADERBOARD,Leaderboard
TID_NAME_INSTRUCTIONS,Pick a name you like. This is how other players will see you!
TID_GIVE_NAME_TITLE,My name is...
