name,Cap,TID,InfoTID,destinationBoard,noTargets,type,IconSWF,IconExportName,projectile,effect,areaPattern,level,upgradeCostGold,upgradeCostPoints,damage,freezeTurns,combatValue,DropEffect,animation,menuAnimation,ColorPrimary,ColorSecondary,Targeting,Sound,Disabled,BaseDamageMultiplier
string,String,string,string,string,int,string,string,string,string,string,string,int,int,int,int,int,int,String,string,string,string,string,string,string,boolean,int
Fireball,FireballCap,TID_CARD_FIREBALL,TID_CARD_FIREBALL_DESCRIPTION,enemy,1,attack,sc/ui_cards.sc,icon_spell_fireball,fireball,,3x3wave,1,,,80,,120,GainCard,FireBall,FireBall,f9683a,870000,,Fireball_Spell,,
,,,,,,,,,,,,2,1200,4,92,,,,,,,,,,,
,,,,,,,,,,,,3,2500,8,106,,,,,,,,,,,
,,,,,,,,,,,,4,5000,12,122,,,,,,,,,,,
,,,,,,,,,,,,5,8000,20,140,,,,,,,,,,,
,,,,,,,,,,,,6,16000,40,161,,,,,,,,,,,
,,,,,,,,,,,,7,28000,70,185,,,,,,,,,,,
,,,,,,,,,,,,8,50000,100,213,,,,,,,,,,,
,,,,,,,,,,,,9,80000,150,245,,,,,,,,,,,
,,,,,,,,,,,,10,120000,200,282,,,,,,,,,,,
Zap,ZapCap,TID_CARD_ZAP,TID_CARD_ZAP_DESCRIPTION,enemy,1,attack,sc/ui_cards.sc,icon_spell_zap,invisible,Lightning,,1,,,100,2,70,GainCard,Zap,Zap,4f83cc,002f6c,,Zap_Spell,,
,,,,,,,,,,,,2,1200,4,115,2,,,,,,,,,,
,,,,,,,,,,,,3,2500,8,132,3,,,,,,,,,,
,,,,,,,,,,,,4,5000,12,152,3,,,,,,,,,,
,,,,,,,,,,,,5,8000,20,175,3,,,,,,,,,,
,,,,,,,,,,,,6,16000,40,201,4,,,,,,,,,,
,,,,,,,,,,,,7,28000,70,231,4,,,,,,,,,,
,,,,,,,,,,,,8,50000,100,266,4,,,,,,,,,,
,,,,,,,,,,,,9,80000,150,306,4,,,,,,,,,,
,,,,,,,,,,,,10,120000,200,352,4,,,,,,,,,,
Retreat,RetreatCap,TID_CARD_RETREAT,TID_CARD_RETREAT_DESCRIPTION,player,1,tactics,sc/ui_cards.sc,icon_tactic_retreat,,,,1,,,,,29,GainCard,Retreat,Retreat,94FB9E,26832F,,,,
